시도명,시군구명,측정연도,지하철호선명,지하철역사명,측정위치,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,휘발성유기화합물,관리기관명,데이터기준일자
서울특별시,중구,2023,1호선,서울역(1),대합실 및 승강장,33.7,68.8,525,15.8,1.7,0.016,10.1,123,서울교통공사,2024-06-25
서울특별시,중구,2023,1호선,시청(1),대합실 및 승강장,54.7,81.7,444,6,1.4,0.017,13.4,71.6,서울교통공사,2024-06-25
서울특별시,종로구,2023,1호선,종각,대합실 및 승강장,49.8,162.1,605.5,7,0.9,0.018,15.8,111.9,서울교통공사,2024-06-25
서울특별시,종로구,2023,1호선,종로3가(1),대합실 및 승강장,64.7,75.9,575.5,7,0.5,0.016,8.7,150.7,서울교통공사,2024-06-25
서울특별시,종로구,2023,1호선,종로5가,대합실 및 승강장,71.4,106.5,554,8.4,0.8,0.017,11.6,105.2,서울교통공사,2024-06-25
서울특별시,종로구,2023,1호선,동대문(1),대합실 및 승강장,61.1,76.9,756,9.3,0.6,0.015,16.2,142.4,서울교통공사,2024-06-25
서울특별시,종로구,2023,1호선,동묘앞(1),대합실 및 승강장,46.5,49.5,457,7.8,0.7,0.016,10.1,147.7,서울교통공사,2024-06-25
서울특별시,동대문구,2023,1호선,신설동(1),대합실 및 승강장,72.3,70.8,563,8.4,0.4,0.016,13.9,90.5,서울교통공사,2024-06-25
서울특별시,동대문구,2023,1호선,제기동,대합실 및 승강장,63,76.5,509,9.3,0.5,0.015,10.2,100.1,서울교통공사,2024-06-25
서울특별시,동대문구,2023,1호선,청량리,대합실 및 승강장,56,38.6,509,6.3,0.7,0.018,7.9,89.6,서울교통공사,2024-06-25
서울특별시,중구,2023,2호선,시청(2),대합실 및 승강장,53,38.6,601,8.5,1.4,0.015,22,170.3,서울교통공사,2024-06-25
서울특별시,중구,2023,2호선,을지로입구,대합실 및 승강장,40.5,67.9,503,8.2,1.6,0.016,10.8,85.8,서울교통공사,2024-06-25
